policy,physics_variant,target,unsafe_rate,unsafe_rate_worst_topology,unsafe_rate_seed_min,unsafe_rate_seed_max,false_alarm_rate,false_alarm_rate_worst_topology,false_alarm_rate_seed_min,false_alarm_rate_seed_max,realized_escalation,realized_escalation_worst_topology,realized_escalation_seed_min,realized_escalation_seed_max,conditional_risk,conditional_risk_worst_topology,conditional_risk_seed_min,conditional_risk_seed_max,miss_rate,miss_rate_worst_topology,miss_rate_seed_min,miss_rate_seed_max,topologies,rows,unsafe_model_evaluations,false_alarm_model_evaluations,resolved_model_evaluations
error_ratio,not_applicable,0.05,0.1612184803346211,0.6008575791677734,0.1605756342198161,0.16194598205996186,0.032751280991941294,0.18097668120746302,0.032085940061242435,0.03350992726070814,0.05324444444444447,0.05324444444444445,0.05006666666666667,0.05573333333333333,0.25144422556789875,0.8836294187712487,0.25092058750220775,0.2521866391200018,0.2433942170686846,0.6651180736398616,0.24225886788881795,0.24472324052854505,44,396,634252,63661,3953055
error_ratio,not_applicable,0.1,0.1485048598105361,0.5729249427746999,0.14743092836178168,0.14961357003788694,0.024766929466353935,0.15414058940107334,0.024165468324483845,0.02545609475385808,0.10121111111111109,0.10121111111111111,0.09736666666666666,0.10356666666666667,0.23882567590548395,0.8751644437121855,0.237855178093442,0.23995956635070703,0.22077368604201936,0.6341947139211225,0.2189497936802898,0.2227855370269682,44,396,584100,47576,3953055
error_ratio,not_applicable,0.2,0.12476922552409007,0.5125348119488522,0.12375478284703875,0.12590355871538575,0.012516626714819745,0.10047332824068428,0.010530771578072364,0.013555713124081022,0.2034444444444445,0.20344444444444443,0.19723333333333334,0.2123,0.21529757572712624,0.8549966511027133,0.21402533584756572,0.21660837689638646,0.18120180741913863,0.5673425380553059,0.17946160595392785,0.18312075336805417,44,396,490526,23830,3953055
nn_approval_signed_physics,branch_noise_10pct,0.05,0.0014330741617189877,0.009033333333333332,0.0013114992900094304,0.001518200023038697,0.044887092987867576,0.21214122543261477,0.044642320999857425,0.04501205050261633,0.20919722222222215,0.5888888888888889,0.20775000000000002,0.21102727272727273,0.006043466860097613,0.043744649479739134,0.005588397482427386,0.006368523826908015,0.002179540059311306,0.011466965339113634,0.0019761394837224497,0.002321273055910118,44,396,5658,87944,3953055
nn_approval_signed_physics,branch_noise_10pct,0.1,0.0003254457958228899,0.0026555555555555555,0.0003082740786511727,0.0003340316544087485,0.044887092987867576,0.21214122543261477,0.044642320999857425,0.04501205050261633,0.2433883838383838,0.5960888888888889,0.2423909090909091,0.24505833333333335,0.001572998616969809,0.015069234106932379,0.0014935819104593053,0.0016132525212205803,0.0004248932493258421,0.0033711411882453002,0.0004023485117243568,0.0004361656181265848,44,396,1286,87944,3953055
nn_approval_signed_physics,branch_noise_10pct,0.2,2.196969696969697e-05,0.00043333333333333337,2.121212121212121e-05,2.272727272727273e-05,0.044887092987867576,0.21214122543261477,0.044642320999857425,0.04501205050261633,0.31596843434343436,0.6081888888888889,0.31503030303030305,0.31688333333333335,9.758366393119319e-05,0.0018509618072236333,9.437690798510455e-05,0.00010103195341440984,2.8826652828111615e-05,0.0005712927575042333,2.7817152825926517e-05,2.9814797263593936e-05,44,396,87,87944,3953055
nn_approval_signed_physics,current,0.05,0.0009023382266538323,0.0048222222222222225,0.0007791941973108569,0.000985249396382741,0.044887092987867576,0.21214122543261477,0.044642320999857425,0.04501205050261633,0.20859621212121215,0.5882444444444445,0.2071469696969697,0.21043030303030305,0.004259992829151484,0.038681819322004894,0.0037963131083812137,0.004582024346403516,0.0012828670351685172,0.006469213069616077,0.001083740468924034,0.0014159522860524212,44,396,3552,87944,3953055
nn_approval_signed_physics,current,0.1,0.00018893767182375984,0.0017333333333333333,0.00018333807946617652,0.00019249504376012727,0.044887092987867576,0.21214122543261477,0.044642320999857425,0.04501205050261633,0.24288484848484845,0.5954555555555555,0.2418621212121212,0.24459999999999998,0.000939470260166354,0.007348398518907378,0.0009078227973034901,0.0009597106679663924,0.00024541901091132407,0.002327357616470367,0.0002383090508816121,0.00024991900602889015,44,396,745,87944,3953055
nn_approval_signed_physics,current,0.2,1.1429691566677272e-05,0.00013333333333333334,1.1429691566677273e-05,1.1429691566677273e-05,0.044887092987867576,0.21214122543261477,0.044642320999857425,0.04501205050261633,0.31560353535353536,0.6075555555555555,0.3146568181818182,0.3165022727272727,5.707092070021591e-05,0.0005352239650115889,5.7044923445118934e-05,5.708771785746288e-05,1.4927525395098485e-05,0.000179206127155,1.4927525395098485e-05,1.4927525395098485e-05,44,396,45,87944,3953055
nn_approval_signed_physics,impedance_0.8,0.05,0.05405555826637394,0.11664444444444445,0.053438219657867415,0.05447982489664526,0.044887092987867576,0.21214122543261477,0.044642320999857425,0.04501205050261633,0.14483939393939396,0.547911111111111,0.1435121212121212,0.1465030303030303,0.12931653522639147,0.37574880199573607,0.1281692547696447,0.1301378463386329,0.0973080061624839,0.22348501151950995,0.09624086645452655,0.09803498894814133,44,396,213742,87944,3953055
